#roi	label	R	G	B	A
190	R_VosdeWael_Area_88	0	88	88	0
191	R_VosdeWael_Area_89	0	89	89	0
192	R_VosdeWael_Area_90	0	90	90	0
193	R_VosdeWael_Area_91	0	91	91	0
194	R_VosdeWael_Area_92	0	92	92	0
195	R_VosdeWael_Area_93	0	93	93	0
196	R_VosdeWael_Area_94	0	94	94	0
197	R_VosdeWael_Area_95	0	95	95	0
198	R_VosdeWael_Area_96	0	96	96	0
199	R_VosdeWael_Area_97	0	97	97	0
200	R_VosdeWael_Area_98	0	98	98	0
201	R_VosdeWael_Area_99	0	99	99	0
202	R_VosdeWael_Area_100	0	100	100	0
