#roi	label	R	G	B	A
2140	R_TPOJ2	44	132	35	0
2141	R_TPOJ3	106	18	35	0
2142	R_DVT	114	62	255	0
2143	R_PGp	44	35	53	0
2144	R_IP2	70	176	246	0
2145	R_IP1	53	229	141	0
2146	R_IP0	255	229	158	0
2147	R_PFop	246	132	176	0
2148	R_PF	97	114	62	0
2149	R_PFm	149	62	158	0
2150	R_PGi	193	211	88	0
2151	R_PGs	176	158	132	0
2152	R_V6A	211	114	97	0
2153	R_VMV1	141	246	114	0
2154	R_VMV3	202	158	79	0
2155	R_PHA2	0	211	62	0
2156	R_V4t	185	123	176	0
2157	R_FST	255	97	176	0
2158	R_V3CD	202	35	62	0
2159	R_LO3	132	149	220	0
2160	R_VMV2	35	0	35	0
2161	R_31pd	158	141	149	0
2162	R_31a	70	106	0	0
2163	R_VVC	202	18	97	0
2164	R_25	0	97	97	0
2165	R_s32	0	132	97	0
2166	R_pOFC	79	62	9	0
2167	R_PoI1	97	176	79	0
2168	R_Ig	255	26	255	0
2169	R_FOP5	0	88	132	0
2170	R_p10p	0	97	202	0
2171	R_p47r	211	97	44	0
2172	R_TGv	211	35	149	0
2173	R_MBelt	141	44	193	0
2174	R_LBelt	185	220	167	0
2175	R_A4	88	35	106	0
2176	R_STSva	229	220	44	0
2177	R_TE1m	255	202	185	0
2178	R_PI	132	141	0	0
2179	R_a32pr	255	88	141	0
2180	R_p24	237	185	255	0
